"Pid","ProcessName","ModuleName","FileName","FileVersion","ProductName"
"23508","SystrayComponent","NSI.dll","C:\Windows\System32\NSI.dll","10.0.22621.4746 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","ntdll.dll","C:\Windows\SYSTEM32\ntdll.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","ole32.dll","C:\Windows\System32\ole32.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","profapi.dll","C:\Windows\SYSTEM32\profapi.dll","10.0.22621.5415 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","rasadhlp.dll","C:\Windows\System32\rasadhlp.dll","10.0.22621.1 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","RPCRT4.dll","C:\Windows\System32\RPCRT4.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","rsaenh.dll","C:\Windows\system32\rsaenh.dll","10.0.22621.1 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","RTSSHooks64.dll","D:\softwarehhouse\RivaTuner Statistics Server\RTSSHooks64.dll",,
"23508","SystrayComponent","sechost.dll","C:\Windows\System32\sechost.dll","10.0.22621.1 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","SETUPAPI.dll","C:\Windows\System32\SETUPAPI.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","SHCORE.dll","C:\Windows\System32\SHCORE.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","SHELL32.dll","C:\Windows\System32\SHELL32.dll","10.0.22621.5983 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","SHLWAPI.dll","C:\Windows\System32\SHLWAPI.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","System.Configuration.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Configuration\5981d875c9b7bffd26ef1ecacb57079c\System.Configuration.ni.dll","4.8.9032.0 built by: NET481REL1","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Core.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Core\cf9616e40d9e7e4d682f88f6d5725156\System.Core.ni.dll","4.8.9297.0 built by: NET481REL1LAST_C","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Data.dll","C:\Windows\Microsoft.Net\assembly\GAC_64\System.Data\v4.0_4.0.0.0__b77a5c561934e089\System.Data.dll","4.8.9214.0 built by: NET481REL1LAST_B","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Data.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Data\8929eb8d8787b5e32eed7cb0cb09e57a\System.Data.ni.dll","4.8.9214.0 built by: NET481REL1LAST_B","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Drawing.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\f8bbe472ae72b0b981525825470239b1\System.Drawing.ni.dll","4.8.9032.0 built by: NET481REL1","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Dynamic.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Dynamic\bfefd1733739cdf3d0efedb94404dc51\System.Dynamic.ni.dll","4.8.9032.0","Microsoft® .NET Framework"
"23508","SystrayComponent","System.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System\fc7509f3c5d3bef48dfefcb3947d3b56\System.ni.dll","4.8.9310.0 built by: NET481REL1LAST_C","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Numerics.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Numerics\33788d0889c2acfd59e5fe42090f42ab\System.Numerics.ni.dll","4.8.9032.0 built by: NET481REL1","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Runtime.Serialization.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Runteb92aa12#\2fb6fb234e920e0479995cf50aedbc11\System.Runtime.Serialization.ni.dll","4.8.9241.0 built by: NET481REL1LAST_C","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Windows.Forms.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Windows.Forms\347e96f0f47f0914996065f9dde015a8\System.Windows.Forms.ni.dll","4.8.9251.0 built by: NET481REL1LAST_C","Microsoft® .NET Framework"
"23508","SystrayComponent","System.Xml.ni.dll","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml\712338b74f96d32fc2d4d8d3c14667d5\System.Xml.ni.dll","4.8.9032.0 built by: NET481REL1","Microsoft® .NET Framework"
"23508","SystrayComponent","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","1.0.0.19","SystrayComponent"
"23508","SystrayComponent","ucrtbase.dll","C:\Windows\System32\ucrtbase.dll","10.0.22621.3593 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","ucrtbase_clr0400.dll","C:\Windows\SYSTEM32\ucrtbase_clr0400.dll","14.32.31326.0","Microsoft® Visual Studio®"
"23508","SystrayComponent","USER32.dll","C:\Windows\System32\USER32.dll","10.0.22621.1 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","uxtheme.dll","C:\Windows\system32\uxtheme.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","VCRUNTIME140_1_CLR0400.dll","C:\Windows\SYSTEM32\VCRUNTIME140_1_CLR0400.dll","14.32.31326.0","Microsoft® Visual Studio®"
"23508","SystrayComponent","VCRUNTIME140_CLR0400.dll","C:\Windows\SYSTEM32\VCRUNTIME140_CLR0400.dll","14.32.31326.0","Microsoft® Visual Studio®"
"23508","SystrayComponent","VERSION.dll","C:\Windows\SYSTEM32\VERSION.dll","10.0.22621.1 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","win32u.dll","C:\Windows\System32\win32u.dll","10.0.22621.5624 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","windows.staterepositorycore.dll","C:\Windows\SYSTEM32\windows.staterepositorycore.dll","10.0.22621.5624 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","windows.storage.dll","C:\Windows\SYSTEM32\windows.storage.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","WindowsCodecs.dll","C:\Windows\SYSTEM32\WindowsCodecs.dll","10.0.22621.5624 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","WINMM.dll","C:\Windows\SYSTEM32\WINMM.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","wintypes.dll","C:\Windows\System32\wintypes.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
"23508","SystrayComponent","WS2_32.dll","C:\Windows\System32\WS2_32.dll","10.0.22621.6133 (WinBuild.160101.0800)","Microsoft® Windows® Operating System"
