"Time","State","Local","Remote","OwningPid","ProcessName"
"2026-04-05T23:45:15.5624495+08:00","TimeWait","127.0.0.1:10075","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.5468251+08:00","TimeWait","127.0.0.1:12100","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.5155531+08:00","TimeWait","127.0.0.1:13199","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.5155531+08:00","TimeWait","127.0.0.1:13200","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.5155531+08:00","TimeWait","127.0.0.1:13201","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.5105529+08:00","TimeWait","127.0.0.1:13202","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.5055528+08:00","TimeWait","127.0.0.1:13203","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.5004809+08:00","TimeWait","127.0.0.1:13204","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.4964806+08:00","TimeWait","127.0.0.1:13210","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.4914805+08:00","TimeWait","127.0.0.1:13211","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.4864894+08:00","TimeWait","127.0.0.1:13215","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.4685893+08:00","TimeWait","127.0.0.1:13216","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.4685893+08:00","TimeWait","127.0.0.1:13217","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.4685893+08:00","TimeWait","127.0.0.1:13221","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4529646+08:00","TimeWait","127.0.0.1:13222","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4529646+08:00","TimeWait","127.0.0.1:13225","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4373409+08:00","TimeWait","127.0.0.1:13226","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4373409+08:00","TimeWait","127.0.0.1:13227","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4373409+08:00","TimeWait","127.0.0.1:13228","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4217158+08:00","TimeWait","127.0.0.1:13229","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4217158+08:00","TimeWait","127.0.0.1:13230","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4060897+08:00","TimeWait","127.0.0.1:13231","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4060897+08:00","TimeWait","127.0.0.1:13232","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.4060897+08:00","TimeWait","127.0.0.1:13233","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3904651+08:00","TimeWait","127.0.0.1:13234","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3904651+08:00","TimeWait","127.0.0.1:13235","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3748446+08:00","TimeWait","127.0.0.1:13236","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3748446+08:00","TimeWait","127.0.0.1:13237","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3748446+08:00","TimeWait","127.0.0.1:13238","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3592155+08:00","TimeWait","127.0.0.1:13239","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3592155+08:00","TimeWait","127.0.0.1:13240","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3592155+08:00","TimeWait","127.0.0.1:13241","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3435916+08:00","TimeWait","127.0.0.1:13242","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.3435916+08:00","TimeWait","127.0.0.1:13243","127.0.0.1:49350","0","Idle"
