"ProcessId","Name","ExecutablePath","CommandLine"
"11620","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"23508","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
